# 函戈五笔 拼音码表
# 格式：拼音	汉字	权重
# 来源：rime-pinyin-simp + rime-luna-pinyin
# 条目数：119004
langqianbofa	郎潛白髮	2555
langsongdiao	朗誦調	2555
langtaopengpai	浪濤澎湃	2555
langtunhuyan	狼吞虎咽	2555
langxingouxing	狼心狗行	2555
langye	琅邪	2555
langye	瑯琊	2555
langyeshan	琅邪山	2555
langyeshan	瑯琊山	2555
langyetaikeshi	琅邪臺刻石	2555
langyuan	閬苑	2555
langzhongxian	閬中縣	2555
lanhan	婪酣	2555
lanjiao	懶覺	2555
lannao	蘭橈	2555
lanpeichengqing	攬轡澄清	2555
lanre	蘭若	2555
lanruopijin	爛若披錦	2555
lansan	㲯毿	2555
lansan	䰐鬖	2555
lanshu	爛熟	2555
lanshun	欄楯	2555
lanxing	濫行	2555
lanxiu	蘭臭	2555
lanzha	欄柵	2555
lao	㗦	2555
lao	㞠	2555
lao	㟉	2555
lao	㟹	2555
lao	㧯	2555
lao	㨓	2555
lao	㺐	2555
lao	䃕	2555
lao	䇭	2555
lao	䕩	2555
lao	䜎	2555
lao	䜮	2555
lao	䝁	2555
lao	䝤	2555
lao	䲏	2555
lao	䳓	2555
lao	䵏	2555
lao	哰	2555
lao	憥	2555
lao	憦	2555
lao	朥	2555
lao	楽	2555
lao	犖	2555
lao	珯	2555
lao	硓	2555
lao	磱	2555
lao	窂	2555
lao	粩	2555
lao	耂	2555
lao	耊	2555
lao	耋	2555
lao	耮	2555
lao	蟧	2555
lao	躼	2555
lao	轑	2555
lao	髝	2555
lao	𠈭	2555
lao	𡂕	2555
lao	𡑍	2555
lao	𡬘	2555
lao	𢚄	2555
lao	𢭂	2555
lao	𣘪	2555
lao	𣟽	2555
lao	𣠼	2555
lao	𤉍	2555
lao	𤎤	2555
lao	𤛮	2555
lao	𤩂	2555
lao	𤶁	2555
lao	𥢒	2555
lao	𦒴	2555
lao	𦛨	2555
lao	𦺜	2555
lao	𧢋	2555
lao	𧯍	2555
lao	𨡤	2555
lao	𨣃	2555
lao	𨦭	2555
lao	𨲮	2555
lao	𪀧	2555
lao	𪁔	2555
laoao	老媼	2555
laobaishi	落白事	2555
laoban	老闆	2555
laobangchumingzhu	老蚌出明珠	2555
laobangshengzhu	老蚌生珠	2555
laobanniang	老闆娘	2555
laobaobian	落褒貶	2555
laobenhang	老本行	2555
laobi	老婢	2555
laobing	烙餅	2555
laobodai	老伯呆	2555
laobude	落不的	2555
laobushi	落不是	2555
laocang	老傖	2555
laocao	落槽	2555
laochengchizhong	老成持重	2555
laochengwenzhong	老成穩重	2555
laochusheng	老畜生	2555
laodan	老聃	2555
laodaozhang	老道長	2555
laodi	落地	2555
laodiao	老調	2555
laodiaochongtan	老調重彈	2555
laodizhao	落地罩	2555
laoduye	老都爺	2555
laogan	老乾	2555
laogeda	老疙瘩	2555
laohangjia	老行家	2555
laohangwu	老行伍	2555
laohangzun	老行尊	2555
laoheshangzhuangzhong	老和尚撞鐘	2555
laohua	烙花	2555
laohushenglechibangyiban	老虎生了翅膀一般	2555
laojia	落架	2555
laojiangxing	老將行	2555
laojiaodi	牢角底	2555
laokang	落炕	2555
laole	落了	2555
laoma	老嬤	2555
laomama	老嬤嬤	2555
laoman	老姏	2555
laomenkan	老門檻	2555
laopao	落跑	2555
laoqian	老慳	2555
laoren	落忍	2555
laorenjulebu	老人俱樂部	2555
laoshaobing	烙燒餅	2555
laoshenzhangzi	老身長子	2555
laoshiguzi	勞什骨子	2555
laoshisuru	老師宿儒	2555
laoshizi	僗什子	2555
laoshizi	勞什子	2555
laoshizi	撈什子	2555
laosigouhe	老死溝壑	2555
laosigouhuo	老死溝壑	2555
laosu	老宿	2555
laotaizhong	勞臺重	2555
laotao	老饕	2555
laotianbadi	老天拔地	2555
laotie	烙鐵	2555
laotingdagu	樂亭大鼓	2555
laotou	絡頭	2555
laowo	老撾	2555
laoxian	老弦	2555
laozaihang	老在行	2555
laozao	醪糟	2555
laozhai	癆瘵	2555
laozhang	落帳	2555
laozhen	落枕	2555
laozhua	老撾	2555
laozi	絡子	2555
laozi	落子	2555
laoziguan	落子館	2555
laozunzhong	勞尊重	2555
laozuo	落作	2555
lapei	拉胚	2555
laqiangtou	臘鎗頭	2555
laqiangtou	鑞鎗頭	2555
lasefu	拉塞福	2555
lashen	落神	2555
lata	拉沓	2555
lataben	邋遢本	2555
laxianzi	拉弦子	2555
laye	拉曳	2555
layi	拉曳	2555
lazha	蠟查	2555
le	㔹	2555
le	㖀	2555
le	㦡	2555
le	㿭	2555
le	哷	2555
le	垃	2555
le	埒	2555
le	埓	2555
le	寽	2555
le	忇	2555
le	扐	2555
le	玏	2555
le	皬	2555
le	礐	2555
le	礜	2555
le	簕	2555
le	艻	2555
le	韷	2555
le	餎	2555
le	饹	2555
le	𡃖	2555
le	𣂒	2555
le	𣲒	2555
le	𤟓	2555
le	𤨙	2555
le	𥖪	2555
le	𩐾	2555
lebu	肋部	2555
lebukeji	樂不可極	2555
lebukeyan	樂不可言	2555
lebukezhi	樂不可支	2555
lebusishu	樂不思蜀	2555
lechangfenpojing	樂昌分破鏡	2555
lechangpojing	樂昌破鏡	2555
lechu	樂處	2555
lechuyoufengbei	樂處又逢悲	2555
lecibujuan	樂此不倦	2555
lecibupi	樂此不疲	2555
ledao	樂道	2555
lede	樂得	2555
leerbuhuang	樂而不荒	2555
leerbuyin	樂而不淫	2555
leerwangfan	樂而忘返	2555
leerwanggui	樂而忘歸	2555
leerwangyou	樂而忘憂	2555
lefeng	樂風	2555
legou	樂購	2555
leguan	樂觀	2555
leguanjinqu	樂觀進取	2555
leguanqicheng	樂觀其成	2555
leguanzhuyi	樂觀主義	2555
legujuji	肋骨舉肌	2555
leguo	樂國	2555
lehe	樂呵	2555
lehe	樂和	2555
lehehe	樂呵呵	2555
lehuo	樂禍	2555
lehuoxingzai	樂禍幸災	2555
lehuxu	捋虎鬚	2555
lei	㑍	2555
lei	㒍	2555
lei	㒦	2555
lei	㔣	2555
lei	㙼	2555
lei	㠥	2555
lei	㲕	2555
lei	㴃	2555
lei	㵢	2555
lei	㵽	2555
lei	㶟	2555
lei	㹎	2555
lei	㼍	2555
lei	㿔	2555
lei	䃬	2555
lei	䉂	2555
lei	䉪	2555
lei	䍣	2555
lei	䐯	2555
lei	䒹	2555
lei	䛶	2555
lei	䢮	2555
lei	䣂	2555
lei	䣦	2555
lei	䨓	2555
lei	䮑	2555
lei	䴎	2555
lei	傫	2555
lei	儽	2555
lei	厽	2555
lei	唳	2555
lei	埒	2555
lei	戾	2555
lei	捩	2555
lei	攂	2555
lei	櫑	2555
lei	欙	2555
lei	洡	2555
lei	漯	2555
lei	纝	2555
lei	腂	2555
lei	蕌	2555
lei	蘽	2555
lei	蜼	2555
lei	錑	2555
lei	鑘	2555
lei	靁	2555
lei	頪	2555
lei	颣	2555
lei	鱩	2555
lei	鼺	2555
lei	𠱤	2555
lei	𡈶	2555
lei	𡔇	2555
lei	𡚗	2555
lei	𡰠	2555
lei	𡻭	2555
lei	𡻱	2555
lei	𡼊	2555
lei	𡾋	2555
lei	𡾖	2555
lei	𡿉	2555
lei	𡿛	2555
lei	𢴱	2555
lei	𢹮	2555
lei	𣀀	2555
lei	𣀜	2555
lei	𣚎	2555
lei	𣠠	2555
lei	𣡧	2555
lei	𣡺	2555
lei	𣨅	2555
lei	𤃻	2555
lei	𤜖	2555
lei	𤡂	2555
lei	𤢹	2555
lei	𤮎	2555
lei	𤮚	2555
lei	𤮸	2555
lei	𤳳	2555
lei	𤳴	2555
lei	𤼘	2555
lei	𥅦	2555
lei	𥍔	2555
lei	𥑶	2555
lei	𥗬	2555
lei	𥗶	2555
lei	𥣬	2555
lei	𥤐	2555
lei	𦇄	2555
lei	𦓥	2555
lei	𦢏	2555
lei	𦣄	2555
lei	𦧲	2555
lei	𧒜	2555
lei	𧒽	2555
lei	𧞭	2555
lei	𨀤	2555
lei	𨄱	2555
lei	𨊚	2555
lei	𨏒	2555
lei	𨞽	2555
lei	𨶺	2555
lei	𨻌	2555
lei	𩑚	2555
lei	𩔗	2555
lei	𩛝	2555
lei	𩴻	2555
lei	𩵓	2555
lei	𪑯	2555
leibi	勒斃	2555
leicisanfan	累次三番	2555
leidixingxing	類地行星	2555
leiganchangduan	淚乾腸斷	2555
leihongdianche	雷轟電掣	2555
leijin	勒緊	2555
leijinkudai	勒緊褲帶	2555
leijinshuilv	累進稅率	2555
leiken	勒掯	2555
leikui	礧磈	2555
leili	蔂梩	2555
leilifengxing	雷厲風行	2555
leilileide	勒里勒得	2555
leilu	羸露	2555
leiluo	磊砢	2555
leimuxingxing	類木行星	2555
leinou	耒耨	2555
leinouzhijiao	耒耨之教	2555
leinouzhili	耒耨之利	2555
leipanrulu	淚盤如露	2555
leishenjinxingqu	雷神進行曲	2555
leishexieguanchengxingshu	雷射血管成形術	2555
leishexueguanchengxingshu	雷射血管成形術	2555
leishui	㶟水	2555
leisi	勒死	2555
leisi	類似	2555
leitiandaodi	擂天倒地	2555
leitiao	肋條	2555
leitingdianbao	雷霆電雹	2555
leiwo	肋窩	2555
leixie	累紲	2555
leixie	縲紲	2555
leixie	縲絏	2555
leixie	纍紲	2555
leiye	淚液	2555
leiyi	蜼彝	2555
leizhai	羸瘵	2555
leizhu	勒住	2555
leizi	勒子	2555
lejianji	肋間肌	2555
lejibeilai	樂極悲來	2555
lejibeisheng	樂極悲生	2555
lejin	肋筋	2555
lejing	樂境	2555
lejishengbei	樂極生悲	2555
lejiwangxing	樂極忘形	2555
lejizebei	樂極則悲	2555
lejuan	樂捐	2555
leken	勒掯	2555
lelang	樂浪	2555
lele	樂樂	2555
leletaotao	樂樂陶陶	2555
leli	樂利	2555
lemo	肋膜	2555
lemoyan	肋膜炎	2555
leng	㘄	2555
leng	㱥	2555
leng	䉄	2555
leng	䔖	2555
leng	䬋	2555
leng	䮚	2555
leng	佂	2555
leng	倰	2555
leng	掕	2555
leng	泠	2555
leng	碐	2555
leng	祾	2555
leng	蓤	2555
leng	蔆	2555
leng	𥈮	2555
leng	𦼊	2555
leng	𧼔	2555
leng	𨈓	2555
leng	𩩡	2555
lengbiao	冷鼻凹	2555
lengcangcangku	冷藏倉庫	2555
lengcangche	冷藏車	2555
lengcangchuan	冷藏船	2555
lengcangfa	冷藏法	2555
lengcangjian	冷藏間	2555
lengcangku	冷藏庫	2555
lengcangshi	冷藏室	2555
lengdili	冷地裏	2555
lengdongtiaolishipin	冷凍調理食品	2555
lenghehe	冷呵呵	2555
lenghehe	怔呵呵	2555
lengjianbang	冷肩膀	2555
lengjin	冷勁	2555
lengjue	冷覺	2555
lengleng	怔怔	2555
lengleng	愣怔	2555
lengnuanzizhi	冷煖自知	2555
lengqiejing	楞伽經	2555
lengshouzhuabuzhaoremanshou	冷手撾不着熱饅首	2555
lengshuiyangzhi	冷水養殖	2555
lengxie	冷血	2555
lengxiedongwu	冷血動物	2555
lengxuedongwu	冷血動物	2555
lengyagangban	冷軋鋼板	2555
lengzha	冷軋	2555
lengzhan	冷顫	2555
lengzhu	怔住	2555
lepinganjian	樂貧甘賤	2555
lepu	樂普	2555
lequ	樂趣	2555
lequn	樂羣	2555
lerongrong	樂融融	2555
leshan	樂善	2555
leshan	樂山	2555
leshanbujuan	樂善不倦	2555
leshanhaoshi	樂善好施	2555
leshanhaoyi	樂善好義	2555
leshi	樂事	2555
leshi	樂施	2555
leshu	樂輸	2555
lesui	樂歲	2555
letaotao	樂陶陶	2555
letian	樂天	2555
letiananming	樂天安命	2555
letianpai	樂天派	2555
letianzhiming	樂天知命	2555
letou	樂透	2555
letu	樂土	2555
letuo	樂託	2555
lewang	樂網	2555
lexixi	樂嘻嘻	2555
leye	樂業	2555
leyeanju	樂業安居	2555
leyi	樂意	2555
leyi	樂易	2555
leyiwangyou	樂以忘憂	2555
leyouyuan	樂遊原	2555
leyu	仂語	2555
leyu	樂於	2555
leyu	樂育	2555
leyuan	樂園	2555
lezaiqizhong	樂在其中	2555
lezi	樂子	2555
leziguan	樂子館	2555
lezizi	樂滋滋	2555
li	㑦	2555
li	㒧	2555
li	㒿	2555
li	㓯	2555
li	㔏	2555
li	㕸	2555
li	㗚	2555
li	㘑	2555
li	㛤	2555
li	㟳	2555
li	㠟	2555
li	㠣	2555
li	㡂	2555
li	㤡	2555
li	㤦	2555
li	㦒	2555
li	㧰	2555
li	㬏	2555
li	㮚	2555
li	㯤	2555
li	㰀	2555
li	㰚	2555
li	㱹	2555
li	㴝	2555
li	㷰	2555
li	㷴	2555
li	㸚	2555
li	㹈	2555
li	㺡	2555
li	㻺	2555
li	㼖	2555
li	㽁	2555
li	㽝	2555
li	㾐	2555
li	㾖	2555
li	㿛	2555
li	㿨	2555
li	䁻	2555
li	䃯	2555
li	䄜	2555
li	䅄	2555
li	䅻	2555
li	䇐	2555
li	䉫	2555
li	䊍	2555
li	䊪	2555
li	䋥	2555
li	䍠	2555
li	䍥	2555
li	䍦	2555
li	䍽	2555
li	䓞	2555
li	䔁	2555
li	䔆	2555
li	䔉	2555
li	䔣	2555
li	䔧	2555
li	䕻	2555
li	䖥	2555
li	䖽	2555
li	䖿	2555
li	䗍	2555
li	䘈	2555
li	䙰	2555
li	䚕	2555
li	䟏	2555
li	䟐	2555
li	䡃	2555
li	䢂	2555
li	䣓	2555
li	䣫	2555
li	䤙	2555
li	䤚	2555
li	䥶	2555
li	䧉	2555
li	䬅	2555
li	䬆	2555
li	䮋	2555
li	䮥	2555
li	䰛	2555
li	䰜	2555
li	䱘	2555
li	䲞	2555
li	䴡	2555
li	䴻	2555
li	䵓	2555
li	䵩	2555
li	䶘	2555
li	仂	2555
li	兣	2555
li	凓	2555
li	剓	2555
li	卨	2555
li	厯	2555
li	叻	2555
li	嚟	2555
li	囄	2555
li	囇	2555
li	婯	2555
li	峢	2555
li	峲	2555
li	巁	2555
li	彲	2555
li	悝	2555
li	悡	2555
li	戻	2555
li	捚	2555
li	捩	2555
li	擽	2555
li	攊	2555
li	攡	2555
li	攦	2555
li	攭	2555
li	斄	2555
li	栛	2555
li	梩	2555
li	梸	2555
li	棃	2555
li	棙	2555
li	棣	2555
li	櫔	2555
li	櫟	2555
li	氂	2555
li	沴	2555
li	沵	2555
li	浰	2555
li	爄	2555
li	爏	2555
li	牞	2555
li	犛	2555
li	猍	2555
li	珕	2555
li	瓈	2555
li	瓑	2555
li	瓼	2555
li	皪	2555
li	盠	2555
li	睝	2555
li	矋	2555
li	矖	2555
li	砬	2555
li	礫	2555
li	穲	2555
li	粍	2555
li	綟	2555
li	纅	2555
li	脷	2555
li	艃	2555
li	荲	2555
li	蛠	2555
li	蝷	2555
li	螭	2555
li	蟍	2555
li	蟸	2555
li	褁	2555
li	襹	2555
li	觻	2555
li	貍	2555
li	躒	2555
li	邌	2555
li	酈	2555
li	鉝	2555
li	鋫	2555
li	錅	2555
li	鎘	2555
li	鏫	2555
li	飀	2555
li	騹	2555
li	鬴	2555
li	魑	2555
li	鱳	2555
li	鳨	2555
li	鷑	2555
li	麶	2555
li	齂	2555
li	𠌯	2555
li	𠘞	2555
li	𠘟	2555
li	𠚄	2555
li	𠛘	2555
li	𠛦	2555
li	𠝄	2555
li	𠞉	2555
li	𠞙	2555
li	𠞤	2555
li	𠠏	2555
li	𠠝	2555
li	𠠵	2555
li	𠢠	2555
li	𠩵	2555
li	𠪄	2555
li	𠪺	2555
li	𠫌	2555
li	𠭰	2555
li	𠻗	2555
li	𠼝	2555
li	𠾆	2555
li	𡃷	2555
li	𡆯	2555
li	𡤌	2555
li	𡥽	2555
li	𡫯	2555
li	𡮰	2555
li	𡯄	2555
li	𡳸	2555
li	𡸉	2555
li	𡾒	2555
li	𡿋	2555
li	𡿎	2555
li	𢃇	2555
li	𢄡	2555
li	𢌈	2555
li	𢍼	2555
li	𢏃	2555
li	𢛮	2555
li	𢟢	2555
li	𢟤	2555
li	𢡑	2555
li	𢤂	2555
li	𢤆	2555
li	𢤩	2555
li	𢨨	2555
li	𢩑	2555
li	𢮃	2555
li	𢸀	2555
li	𢻠	2555
li	𣀂	2555
li	𣀥	2555
li	𣀷	2555
li	𣁟	2555
li	𣌅	2555
li	𣌜	2555
li	𣐬	2555
li	𣖊	2555
li	𣘬	2555
li	𣞴	2555
li	𣟌	2555
li	𣦯	2555
li	𣧿	2555
li	𣫥	2555
li	𣫧	2555
li	𣮉	2555
li	𣯤	2555
li	𣲒	2555
li	𣿞	2555
li	𤁼	2555
li	𤃀	2555
li	𤄽	2555
li	𤇃	2555
li	𤔨	2555
li	𤖢	2555
li	𤗫	2555
li	𤘃	2555
li	𤚓	2555
li	𤜜	2555
li	𤟑	2555
li	𤠫	2555
li	𤡿	2555
li	𤢴	2555
li	𤩮	2555
li	𤭜	2555
li	𤳓	2555
li	𤹇	2555
li	𤹈	2555
li	𤻤	2555
li	𤼚	2555
li	𥁟	2555
li	𥅈	2555
li	𥉆	2555
li	𥊈	2555
li	𥌛	2555
li	𥌤	2555
li	𥌮	2555
li	𥌿	2555
li	𥎓	2555
li	𥎔	2555
li	𥒢	2555
li	𥓃	2555
li	𥝢	2555
li	𥠲	2555
li	𥣥	2555
li	𥨻	2555
li	𥬭	2555
li	𥲧	2555
li	𥲪	2555
li	𥴡	2555
li	𥶗	2555
li	𥷅	2555
li	𥷗	2555
li	𥻑	2555
li	𥻿	2555
li	𥼅	2555
li	𥽈	2555
li	𥽗	2555
li	𦃇	2555
li	𦃊	2555
li	𦅺	2555
li	𦇔	2555
li	𦎐	2555
li	𦔓	2555
li	𦕸	2555
li	𦘊	2555
li	𦜏	2555
li	𦠓	2555
li	𦢱	2555
li	𦪶	2555
li	𦪾	2555
li	𦫈	2555
li	𦺙	2555
li	𧄚	2555
li	𧄻	2555
li	𧅮	2555
li	𧅯	2555
li	𧉲	2555
li	𧋎	2555
li	𧋠	2555
li	𧍀	2555
li	𧑇	2555
li	𧒈	2555
li	𧓽	2555
li	𧔝	2555
li	𧕮	2555
li	𧕯	2555
li	𧘫	2555
li	𧙉	2555
li	𧚩	2555
li	𧢝	2555
li	𧤜	2555
li	𧥖	2555
li	𧧋	2555
li	𧫬	2555
li	𧮛	2555
li	𧯏	2555
li	𧰡	2555
li	𧲡	2555
li	𧴠	2555
li	𧽲	2555
li	𨁸	2555
li	𨃙	2555
li	𨄛	2555
li	𨇎	2555
li	𨇗	2555
li	𨊛	2555
li	𨋢	2555
li	𨍫	2555
li	𨍮	2555
li	𨏬	2555
li	𨓦	2555
li	𨘸	2555
li	𨛋	2555
li	𨛫	2555
li	𨜼	2555
li	𨝏	2555
li	𨝖	2555
li	𨝟	2555
li	𨞺	2555
li	𨟑	2555
li	𨢌	2555
li	𨤫	2555
li	𨪹	2555
li	𨬑	2555
li	𨯽	2555
li	𨴻	2555
li	𨷦	2555
li	𨽹	2555
li	𨽻	2555
li	𩁟	2555
li	𩄞	2555
li	𩅩	2555
li	𩆝	2555
li	𩆲	2555
li	𩗅	2555
li	𩗭	2555
li	𩘟	2555
li	𩘡	2555
li	𩙖	2555
li	𩞨	2555
li	𩣫	2555
li	𩥬	2555
li	𩥴	2555
li	𩧃	2555
li	𩧋	2555
li	𩪸	2555
li	𩭇	2555
li	𩯺	2555
li	𩰲	2555
li	𩱇	2555
li	𩳓	2555
li	𩴣	2555
li	𩶘	2555
li	𩷋	2555
li	𩻌	2555
li	𩽏	2555
li	𩽵	2555
li	𪁐	2555
li	𪅆	2555
li	𪅼	2555
li	𪌱	2555
li	𪏵	2555
li	𪏼	2555
li	𪐅	2555
li	𪑚	2555
li	𪒔	2555
li	𪓀	2555
li	𪕴	2555
li	𪖂	2555
li	𪖍	2555
li	𪗁	2555
li	𪙺	2555
li	𪙽	2555
li	𫁡	2555
lian	㜃	2555
lian	㜕	2555
lian	㜻	2555
lian	㝺	2555
lian	㟀	2555
lian	㡘	2555
lian	㢘	2555
lian	㥕	2555
lian	㦁	2555
lian	㪘	2555
lian	㪝	2555
lian	㯬	2555
lian	㰈	2555
lian	㰸	2555
lian	㱨	2555
lian	㶌	2555
lian	㶑	2555
lian	㺦	2555
lian	㼑	2555
lian	㼓	2555
lian	㾾	2555
lian	䁠	2555
lian	䃛	2555
lian	䆂	2555
lian	䌞	2555
lian	䏈	2555
lian	䙺	2555
lian	䥥	2555
lian	䨬	2555
lian	䭑	2555
lian	亷	2555
lian	劆	2555
lian	匲	2555
lian	奱	2555
lian	媡	2555
lian	嫾	2555
lian	慩	2555
lian	挛	2555
lian	攣	2555
lian	梿	2555
lian	櫣	2555
lian	溓	2555
lian	濓	2555
lian	熑	2555
lian	燫	2555
lian	瑓	2555
lian	稴	2555
lian	籢	2555
lian	籨	2555
lian	纞	2555
lian	聫	2555
lian	聮	2555
lian	膦	2555
lian	薟	2555
lian	蘝	2555
lian	蘞	2555
lian	螊	2555
lian	譧	2555
lian	轋	2555
lian	醶	2555
lian	鏀	2555
lian	霗	2555
lian	𠋖	2555
lian	𠒵	2555
lian	𠔨	2555
lian	𠗳	2555
lian	𡆕	2555
lian	𡟤	2555
lian	𢅏	2555
lian	𢅖	2555
lian	𢉧	2555
lian	𣀃	2555
lian	𣝈	2555
lian	𣞰	2555
lian	𣟺	2555
lian	𣿊	2555
lian	𤑿	2555
lian	𤒦	2555
lian	𤗛	2555
lian	𤣆	2555
lian	𤬓	2555
lian	𤹨	2555
lian	𤼏	2555
lian	𤾲	2555
lian	𥖝	2555
lian	𥲥	2555
lian	𥽸	2555
lian	𦆆	2555
lian	𦈐	2555
lian	𦔖	2555
lian	𦖾	2555
lian	𦣸	2555
lian	𧍴	2555
lian	𧐖	2555
lian	𧡙	2555
lian	𧡴	2555
lian	𧸖	2555
lian	𧸘	2555
lian	𧽫	2555
lian	𨎷	2555
lian	𨏩	2555
lian	𨏶	2555
lian	𨬁	2555
lian	𨽷	2555
lian	𩄡	2555
lian	𩞙	2555
lian	𩟅	2555
lian	𪍦	2555
lian	𪍴	2555
lian	𪐋	2555
lian	𪐍	2555
lian	𪖳	2555
lian	𪚁	2555
lian	𪛒	2555
lianbai	廉白	2555
lianbo	廉白	2555
liancang	斂藏	2555
lianchang	練裳	2555
lianchui	鏈椎	2555
liandoulvle	臉都綠了	2555
lianfan	連番	2555
liang	㒳	2555
liang	㔝	2555
liang	㹁	2555
liang	㾗	2555
liang	䀶	2555
liang	䁁	2555
liang	䓣	2555
liang	䝶	2555
liang	䠃	2555
liang	䣼	2555
liang	䩫	2555
liang	䭪	2555
liang	唡	2555
liang	惊	2555
liang	掚	2555
liang	槺	2555
liang	煷	2555
liang	脼	2555
liang	莨	2555
liang	蜽	2555
liang	螂	2555
liang	辌	2555
liang	𠓜	2555
liang	𠯱	2555
liang	𡃁	2555
liang	𡑆	2555
liang	𡮎	2555
liang	𣄴	2555
liang	𣓈	2555
liang	𤙝	2555
liang	𥈘	2555
liang	𥛫	2555
liang	𨄈	2555
liang	𨎍	2555
liang	𨎛	2555
liang	𨱉	2555
liang	𨵶	2555
liang	𩗾	2555
liang	𩘁	2555
liang	𩞯	2555
liangan	亮陰	2555
liangan	諒陰	2555
liangbang	兩榜	2555
liangcaoxianxing	糧草先行	2555
liangchaowei	梁朝偉	2555
liangchi	量匙	2555
liangchongqin	兩重親	2555
liangchongrenge	兩重人格	2555
liangchou	莨綢	2555
liangcisanfan	兩次三番	2555
liangdi	兩地	2555
liangdouseer	兩豆塞耳	2555
liangdu	兩都	2555
liangdufu	兩都賦	2555
liangduo	量度	2555
liangen	連亙	2555
lianggan	晾乾	2555
lianggejianbangkangzhangzui	兩個肩膀扛張嘴	2555
lianggongcang	良弓藏	2555
liangguan	兩丱	2555
lianggushencangruoxu	良賈深藏若虛	2555
lianghang	兩行	2555
lianghang	糧行	2555
liangjiaoqi	量角器	2555
liangliang	悢悢	2555
liangliangqiangqiang	踉踉蹌蹌	2555
liangliangqiangqiang	踉踉蹡蹡	2555
liangmajianbianyingerxing	良馬見鞭影而行	2555
liangmianzhuanhuan	兩面轉圜	2555
liangqi	兩棲	2555
liangqiang	踉蹌	2555
liangqiang	踉蹡	2555
liangqibudui	兩棲部隊	2555
liangqileidongwu	兩棲類動物	2555
liangqinzemuerqi	良禽擇木而棲	2555
liangqiyanyuan	兩棲演員	2555
liangqizuozhan	兩棲作戰	2555
liangrisanzhao	兩日三朝	2555
liangsediao	亮色調	2555
liangshanbozhuyingtai	梁山伯祝英臺	2555
liangshiduoli	量時度力	2555
liangtianmeidi	良田美地	2555
liangtoubuzhao	兩頭不着	2555
liangxie	涼血	2555
liangxingshengzhi	兩性生殖	2555
liangxue	涼血	2555
liangyeshengfeng	兩腋生風	2555
liangyun	良醞	2555
liangyunkelian	良醞可戀	2555
liangzai	靚仔	2555
liangzhang	糧長	2555
lianhecanmou	聯合參謀	2555
lianhualao	蓮花落	2555
lianhuale	蓮花樂	2555
lianji	斂戢	2555
lianjiedizhi	鏈接地址	2555
lianluobu	聯絡簿	2555
liannen	臉嫩	2555
lianpibao	臉皮薄	2555
lianquan	連卷	2555
lianquan	連蜷	2555
lianshengbingqi	斂聲屏氣	2555
lianshengwusi	戀生惡死	2555
lianshu	連屬	2555
liantan	聯彈	2555
liantiao	聯調	2555
lianwanlinuo	廉頑立懦	2555
lianxian	廉纖	2555
lianxibu	練習簿	2555
lianyinghuajue	連營畫角	2555
lianyu	廉隅	2555
lianzhang	連長	2555
lianzhaojiexi	連朝接夕	2555
lianzhouqi	聯軸器	2555
lianzhu	連屬	2555
liao	㙩	2555
liao	㝋	2555
liao	㡻	2555
liao	㵳	2555
liao	㶫	2555
liao	䄦	2555
liao	䉼	2555
liao	䎆	2555
liao	䑠	2555
liao	䒿	2555
liao	䜍	2555
liao	䜮	2555
liao	䝀	2555
liao	䝤	2555
liao	䢧	2555
liao	䨅	2555
liao	䩍	2555
liao	叾	2555
liao	尦	2555
liao	嶛	2555
liao	廫	2555
liao	曢	2555
liao	漻	2555
liao	熮	2555
liao	爎	2555
liao	爒	2555
liao	璆	2555
liao	璙	2555
liao	瘳	2555
liao	窲	2555
liao	竂	2555
liao	翏	2555
liao	藔	2555
liao	蟉	2555
liao	賿	2555
liao	蹘	2555
liao	蹽	2555
liao	醪	2555
liao	顟	2555
liao	髎	2555
liao	𠐋	2555
liao	𠖂	2555
liao	𠨥	2555
liao	𠺕	2555
liao	𡻪	2555
liao	𢄷	2555
liao	𢊻	2555
liao	𢨺	2555
liao	𢸘	2555
liao	𢻢	2555
liao	𢼙	2555
liao	𢿞	2555
liao	𣁰	2555
liao	𣎸	2555
liao	𣟆	2555
liao	𣩢	2555
liao	𤊽	2555
liao	𤑗	2555
liao	𤵠	2555
liao	𥗀	2555
liao	𥛰	2555
liao	𥲊	2555
liao	𦌒	2555
liao	𦕵	2555
liao	𦗖	2555
liao	𦪕	2555
liao	𦺹	2555
liao	𧂏	2555
liao	𧘈	2555
liao	𧝜	2555
liao	𧡜	2555
liao	𧽽	2555
liao	𨖚	2555
liao	𨣀	2555
liao	𩕐	2555
liao	𩖝	2555
liao	𩯊	2555
liao	𩴤	2555
liao	𪌀	2555
liao	𪌵	2555
liao	𪖷	2555
liaoan	了案	2555
liaobi	了畢	2555
liaobucheng	了不成	2555
liaobude	了不得	2555
liaocai	寮寀	2555
liaocaichenghang	蓼菜成行	2555
liaocao	潦草	2555
liaocaoseze	潦草塞責	2555
liaochao	遼朝	2555
liaocicansheng	了此殘生	2555
liaodang	了當	2555
liaodangbude	了當不得	2555
liaodao	撂倒	2555
liaodao	潦倒	2555
liaodeliao	了得了	2555
liaodi	撂地	2555
liaodiao	了鳥	2555
liaodibang	撂地幫	2555
liaodongbaishi	遼東白豕	2555
liaodongboshi	遼東白豕	2555
liaodongzhaxi	撩東劄西	2555
